INDEX_NAME,AS_OF_DATE,CUSIP,ISIN_NUMBER,DESCRIPTION,CASH_VALUE,TICKER,PAR_WTD_COUPON,CURRENT_COUPON,MATURITY_DATE,MATURITY_WAL,YRS_TO_WORST,RATING,ISO_CURRENCY,ISO_COUNTRY,ML_INDUSTRY_LVL_1,ML_INDUSTRY_LVL_2,ML_INDUSTRY_LVL_3,ML_INDUSTRY_LVL_4,MLINDLVL1_CODE,MLINDLVL2_CODE,MLINDLVL3_CODE,MLINDLVL4_CODE,MKT_INDEX_WGHT,PREVMEND_MKT_INDEX_WGHT,PAR_INDEX_WGHT,CASH,SEMI_MOD_DURATION,SEMI_MOD_DUR_TO_WORST,EFF_DUR,PREVMEND_EFF_DUR,MOD_DUR_TO_WORST,PREVMEND_MOD_DUR_TO_WORST,MODIFIED_DUR,MACAULAY_DUR,EFF_CONVEXITY,SEMI_CONVEXITY_TO_WORST,CONVEXITY_TO_WORST,SEMI_CONVEXITY,CONVEXITY,FACTOR,WAC,WAM,WALA,CPR,DESCRIPTION2,TYPE,SPREAD_DURATION,MUNI_STATE,KDR_TRSY_6_MOS,KDR_TRSY_2_YRS,KDR_TRSY_5_YRS,KDR_TRSY_10_YRS,KDR_TRSY_20_YRS,KDR_TRSY_30_YRS,KDR_TRSY_50_YRS,KDR_SWAP_6_MOS,KDR_SWAP_2_YRS,KDR_SWAP_5_YRS,KDR_SWAP_10_YRS,KDR_SWAP_20_YRS,KDR_SWAP_30_YRS,KDR_SWAP_50_YRS,PRINCIPAL_CASH,INTEREST_CASH,REDEMPTION_CASH,ANNOUNCE_DATE,GEO_REGION,MTY_TYPE,TRR_INDEX_VAL_LOC,TRR_1_DAY_LOC,TRR_1_WEEK_LOC,TRR_1_MONTH_LOC,TRR_3_MONTH_LOC,TRR_6_MONTH_LOC,TRR_12_MONTH_LOC,TRR_MTD_LOC,TRR_QTD_LOC,TRR_YTD_LOC,PRR_INDEX_VAL_LOC,PRR_MTD_LOC,EXCESS_RTN_1_DAY,EXCESS_RTN_1_WEEK,EXCESS_RTN_1_MONTH,EXCESS_RTN_3_MONTH,EXCESS_RTN_6_MONTH,EXCESS_RTN_12_MONTH,EXCESS_RTN_MTD,EXCESS_RTN_QTD,EXCESS_RTN_YTD,EXCESS_SWAP_RTN_MTD,PAYDOWN_RETURN_MTD,ASSET_SWAP,PREVMEND_ASSETSWP,ASSETSWP_1_DAY_CHGE,ASSETSWP_1_WK_CHGE,ASSETSWP_1_MTH_CHGE,ASSETSWP_3_MTH_CHGE,ASSETSWP_12_MTH_CHGE,ASSETSWP_MTD_CHGE,ASSETSWP_QTD_CHGE,ASSETSWP_YTD_CHGE,OAS,PREVMEND_OAS,OAS_1_DAY_CHANGE,OAS_1_WEEK_CHANGE,OAS_1_MO_CHANGE,OAS_3_MO_CHANGE,OAS_12_MO_CHANGE,OAS_MTD_CHANGE,OAS_QTD_CHANGE,OAS_YTD_CHANGE,EFFECTIVE_YIELD,PREVMEND_EFF_YIELD,SEMI_YLD_TO_WORST,YLD_TO_WORST,PREVMEND_YLD_TO_WORST,YLD_TO_MATURITY,BOND_EQUIV_YTM,YIELD_TO_NEXT_CALL,PREVMEND_PRICE,PRICE,ACCRUED_INTEREST,PREVMEND_ACCRUED_INTEREST,SPREAD_TO_WORST,SPRD_TO_WORST_1_DAY_CHG,SPRD_TO_WORST_1_WK_CHGE,SPRD_TO_WORST_1_MTH_CHGE,SPRD_TO_WORST_3_MTH_CHGE,SPRD_TO_WORST_12_MTH_CHGE,SPRD_TO_WORST_MTD_CHGE,SPRD_TO_WORST_QTD_CHGE,SPRD_TO_WORST_YTD_CHGE,LIBOROAS,MARKET_CONVENTION_PRICE,FACE_VALUE_LOC,FULL_MARKET_VALUE_LOC,FACE_VALUE_PREVMEND_LOC
H0A0,9/1/2023,00081TAK,US00081TAK43,ACCO Brands Corporation,0,ACCO,4.25,4.25,3/15/2029,5.536,5.536,BB3,USD,US,Corporate,Industrials,Consumer Goods,Personal & Household Products,CORP,INDU,Cons,ConP,0.04117,0.04121,0.04279,0,4.649,4.649,4.521,4.515,4.649,4.653,4.649,4.824,0.166,0.26,0.26,0.26,0.26,1,,,,,ICE BofA US High Yield Index,SENR,4.43,,0.004,0.094,3.957,0.458,0,0,0,0.006,0.093,3.965,0.462,0,0,0,0,0,0,3/15/2021,Americas,Call:MakeW,98.551,-0.127,2.95,-0.015,2.577,7.092,8.931,-0.127,2.384,6.774,87.925,-0.141,0.135,2.331,0.02,4.449,5.556,9.916,0.135,2.703,6.071,0.105,0,315,318,-3,-39,5,-65,-90,-3,-38,-60,322,325,-3,-49,6,-76,-113,-3,-46,-71,7.526,7.492,7.545,7.545,7.513,7.545,7.545,41.456,85.432,85.309,1.971528,1.96,323,-3,-49,4,-76,-112,-3,-47,-70,347,85.309,575,501.863,575
H0A0,9/1/2023,00109LAA,US00109LAA17,ADT Security Corp.,0,ADT,4.125,4.125,8/1/2029,5.914,5.914,BB3,USD,US,Corporate,Industrials,Services,Support-Services,CORP,INDU,Serv,Supp,0.07165,0.07187,0.07441,0,5.061,5.061,4.946,4.94,5.061,5.066,5.061,5.234,0.245,0.301,0.301,0.301,0.301,1,,,,,ICE BofA US High Yield Index,SECR,4.897,,0.003,0.017,4.099,0.826,0,0,0,0.005,0.028,4.085,0.832,0,0,0,0,0,0,7/29/2021,Americas,Call:MakeW,94.983,-0.309,0.801,0.975,0.895,3.839,8.168,-0.309,1.519,5.463,86.367,-0.322,-0.006,0.157,1.096,2.98,2.351,9.609,-0.006,2.015,4.955,-0.044,0,254,254,0,0,-14,-40,-96,0,-26,-49,252,252,0,-3,-17,-46,-116,0,-33,-54,6.807,6.739,6.833,6.833,6.768,6.833,6.833,7.321,87.282,87,0.355208,0.344,255,0,-3,-18,-46,-115,0,-33,-54,278,87,1000,873.5519,1000
H0A0,9/1/2023,00119LAA,US00119LAA98,AG Issuer LLC,0,ADVGRO,6.25,6.25,3/1/2028,4.497,4.497,B1,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,CORP,FNCL,FinS,Invs,0.03926,0.03928,0.03721,0,3.834,3.834,2.93,2.909,3.834,3.837,3.834,3.975,-0.305,0.177,0.177,0.177,0.177,1,,,,,ICE BofA US High Yield Index,SECR,2.608,,0.094,1.076,1.764,0,0,0,0,0.108,1.081,1.678,0,0,0,0,0,0,0,2/13/2020,Americas,Call:MakeW,120.329,-0.051,1.383,0.383,5.097,5.713,11.436,-0.051,1.594,8.716,96.361,-0.069,0.067,0.967,0.124,5.927,3.687,11.122,0.067,1.232,7.154,0.041,0,262,263,-1,-16,21,-149,-185,-1,-12,-125,252,253,-1,-32,7,-168,-205,-1,-25,-146,6.929,6.897,7.386,7.386,7.367,7.386,7.386,99.99,95.786,95.72,0.017361,0,298,-3,-20,0,-143,-173,-3,-27,-122,275,95.72,500,478.685,500
H0A0,9/1/2023,00150LAB,US00150LAB71,AHP Health Partners Inc.,0,ARDT,5.75,5.75,7/15/2029,5.869,5.869,CCC1,USD,US,Corporate,Industrials,Healthcare,Health Facilities,CORP,INDU,Hcar,HFac,0.02122,0.02128,0.02232,0,4.731,4.731,4.595,4.585,4.731,4.736,4.731,4.943,0.171,0.272,0.272,0.272,0.272,1,,,,,ICE BofA US High Yield Index,SENR,4.491,,0.017,0.164,3.678,0.728,0,0,0,0.019,0.164,3.687,0.734,0,0,0,0,0,0,7/8/2021,Americas,Call:MakeW,97.218,-0.255,0.771,-0.315,1.021,5.569,16.698,-0.255,0.241,14.133,84.763,-0.274,0.018,0.178,-0.263,2.81,3.962,17.751,0.018,0.573,13.448,-0.017,0,446,446,0,0,16,-34,-163,0,1,-140,466,466,0,-2,15,-37,-222,0,3,-186,8.957,8.894,8.98,8.98,8.921,8.98,8.98,28.871,85.735,85.498,0.750694,0.735,469,-1,-3,11,-38,-219,-1,-1,-185,491,85.498,300,258.7468,300
H0A0,9/1/2023,00164VAE,US00164VAE39,AMC Networks Inc,0,AMCX,4.75,4.75,8/1/2025,1.914,1.914,BB3,USD,US,Corporate,Industrials,Media,Media Content,CORP,INDU,Medi,MedB,0.06175,0.06176,0.05953,0,1.769,1.769,1.765,1.767,1.769,1.771,1.769,1.843,0.003,0.04,0.04,0.04,0.04,1,,,,,ICE BofA US High Yield Index,SENR,1.766,,0.103,1.637,0.02,0,0,0,0,0.106,1.631,0.02,0,0,0,0,0,0,0,7/28/2017,Americas,Call:MakeW,124.51,-0.027,0.973,6.18,7.015,2.623,7.204,-0.027,8.03,27.359,92.805,-0.041,0.008,0.648,5.772,6.916,0.579,6.285,0.008,7.304,25.698,-0.011,0,336,335,1,-27,-253,-268,-71,1,-293,-698,346,346,0,-33,-289,-292,-75,0,-336,-877,8.379,8.351,8.379,8.379,8.351,8.379,8.379,99.99,93.736,93.697,0.409028,0.396,345,0,-34,-290,-293,-76,0,-338,-877,355,93.697,800,752.8459,800
H0A0,9/1/2023,00164VAF,US00164VAF04,AMC Networks Inc,0,AMCX,4.25,4.25,2/15/2029,5.461,5.461,BB3,USD,US,Corporate,Industrials,Media,Media Content,CORP,INDU,Medi,MedB,0.05266,0.05243,0.07441,0,4.435,4.435,4.417,4.415,4.435,4.435,4.435,4.743,0.238,0.236,0.236,0.236,0.236,1,,,,,ICE BofA US High Yield Index,SENR,4.446,,0.014,0.046,3.95,0.407,0,0,0,0.015,0.057,3.935,0.404,0,0,0,0,0,0,2/8/2021,Americas,Call:MakeW,74.357,0.419,4.563,15.806,16.471,-7.545,-16.363,0.419,19.818,6.78,65.183,0.401,0.675,3.999,15.816,18.111,-9.349,-15.628,0.675,20.047,5.762,0.645,0,756,765,-9,-46,-172,-178,330,-9,-201,10,954,969,-15,-86,-323,-326,493,-15,-383,1,13.877,13.963,13.877,13.877,13.963,13.877,13.877,99.99,63.743,63.999,0.200694,0.189,956,-15,-87,-325,-328,494,-15,-386,1,979,63.999,1000,642.0009,1000
H0A0,9/1/2023,00165CAP,US00165CAP95,AMC Entertainment Holdings Inc,0,AMC,10,10,6/15/2026,2.788,2.788,CCC3,USD,US,Corporate,Industrials,Leisure,Theaters & Entertainment,CORP,INDU,RnR,Thea,0.08445,0.08419,0.10682,0,2.095,2.095,2.089,2.089,2.095,2.096,2.095,2.367,0.058,0.058,0.058,0.058,0.058,1,,,,,ICE BofA US High Yield Index,SUB,2.095,,0.051,1.514,0.523,0,0,0,0,0.052,1.512,0.522,0,0,0,0,0,0,0,7/31/2020,Americas,Call:MakeW,312.979,0.289,3.458,5.143,10.12,40.673,7.921,0.289,-0.658,82.523,179.816,0.25,0.353,3.095,4.787,10.166,38.737,6.982,0.353,-1.253,80.874,0.33,0,1706,1714,-8,-64,-68,-125,414,-8,134,-702,2127,2141,-14,-125,-138,-240,624,-14,207,-1927,25.968,26.073,25.968,25.968,26.073,25.968,25.968,99.99,69.401,69.58,2.138889,2.111,2128,-14,-128,-140,-245,627,-14,203,-1926,2145,69.58,1435.49,1029.5198,1435.49
H0A0,9/1/2023,00165CBA,US00165CBA18,AMC Entertainment Holdings Inc,0,AMC,7.5,7.5,2/15/2029,5.461,5.461,CCC1,USD,US,Corporate,Industrials,Leisure,Theaters & Entertainment,CORP,INDU,RnR,Thea,0.0534,0.05344,0.07069,0,3.998,3.998,3.987,3.989,3.998,4.002,3.998,4.33,0.205,0.203,0.203,0.203,0.203,1,,,,,ICE BofA US High Yield Index,SECR,4.011,,0.042,0.198,3.411,0.335,0,0,0,0.044,0.208,3.399,0.332,0,0,0,0,0,0,2/14/2022,Americas,Call:MakeW,80.819,-0.096,0.558,0.498,-3.09,18.759,-10.05,-0.096,-1.198,34.2,69.439,-0.127,0.125,0.027,0.449,-1.703,17.127,-9.589,0.125,-1.092,33.18,0.099,0,990,993,-3,6,7,58,306,-3,42,-221,1222,1225,-3,4,12,114,484,-3,76,-489,16.591,16.556,16.591,16.591,16.556,16.591,16.591,40.751,68.256,68.169,0.354167,0.333,1227,-3,3,11,112,486,-3,73,-490,1247,68.169,950,650.9733,950
H0A0,9/1/2023,00175PAB,US00175PAB94,AMN Healthcare Allied Inc,0,AMN,4.625,4.625,10/1/2027,4.081,4.081,BB2,USD,US,Corporate,Industrials,Healthcare,Health Services,CORP,INDU,Hcar,Hlth,0.03846,0.0384,0.03721,0,3.549,3.549,3.246,3.254,3.549,3.55,3.549,3.672,-0.084,0.153,0.153,0.153,0.153,1,,,,,ICE BofA US High Yield Index,SENR,3.061,,0.021,1.202,2.021,0,0,0,0,0.022,1.208,2.001,0,0,0,0,0,0,0,10/1/2019,Americas,Call:MakeW,108.122,0.147,0.989,-1.33,0.361,3.219,5.569,0.147,0.08,2.963,90.435,0.133,0.29,0.547,-1.556,1.223,1.293,5.411,0.29,-0.219,1.676,0.262,0,243,250,-7,-12,57,-21,-56,-7,20,7,239,248,-9,-14,61,-18,-64,-9,22,8,6.848,6.888,6.952,6.952,6.988,6.952,6.952,99.99,91.726,91.85,1.939931,1.927,249,-9,-11,47,-27,-66,-9,13,-3,265,91.85,499.975,468.9269,499.975
H0A0,9/1/2023,00175PAC,US00175PAC77,AMN Healthcare Allied Inc,0,AMN,4,4,4/15/2029,5.622,5.622,BB2,USD,US,Corporate,Industrials,Healthcare,Health Services,CORP,INDU,Hcar,Hlth,0.02503,0.02499,0.02605,0,4.778,4.778,4.618,4.621,4.778,4.779,4.778,4.949,0.144,0.272,0.272,0.272,0.272,1,,,,,ICE BofA US High Yield Index,SENR,4.501,,0.002,0.101,3.968,0.537,0,0,0,0.004,0.099,3.975,0.547,0,0,0,0,0,0,10/20/2020,Americas,Call:MakeW,97.154,0.153,0.337,-2.46,-1.853,2.425,4.526,0.153,-0.997,3.161,86.163,0.14,0.425,-0.249,-2.427,-0.011,0.862,5.568,0.425,-0.701,2.487,0.393,0,280,287,-7,11,58,16,-40,-7,27,-4,282,291,-9,8,62,18,-47,-9,27,-6,7.117,7.145,7.144,7.144,7.171,7.144,7.144,34.816,85.529,85.651,1.522222,1.511,284,-9,7,54,11,-49,-9,20,-10,307,85.651,350,305.105,350
